PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,3,1,22.0,1,0,2.1102132003465894,2
2,1,1,0,38.0,1,0,4.2805931204649,0
3,1,3,0,26.0,0,0,2.188856327665703,2
4,1,1,0,35.0,1,0,3.9908341858524357,2
5,0,3,1,35.0,0,0,2.2027647577118348,2
6,0,3,1,29.69911764705882,0,0,2.246892662898172,1
7,0,1,1,54.0,0,0,3.967694202798607,2
8,0,3,1,2.0,3,1,3.0944457464900235,2
9,1,3,0,27.0,0,2,2.495953738718064,2
10,1,2,0,14.0,1,0,3.436268471383741,0
11,1,3,0,4.0,1,1,2.8735646395797834,2
12,1,1,0,58.0,0,0,3.3160025355989236,2
13,0,3,1,20.0,0,0,2.2027647577118348,2
14,0,3,1,39.0,1,5,3.4742929367327062,2
15,0,3,0,14.0,0,0,2.180891922715322,2
16,1,2,0,55.0,0,0,2.833213344056216,2
17,0,3,1,2.0,4,1,3.405355391810819,1
18,1,2,1,29.69911764705882,0,0,2.6390573296152584,2
19,0,3,0,31.0,1,0,2.9444389791664403,2
20,1,3,0,29.69911764705882,0,0,2.1071782966514356,0
21,0,2,1,35.0,0,0,3.295836866004329,2
22,1,2,1,34.0,0,0,2.6390573296152584,2
23,1,3,0,15.0,0,0,2.2004637699272855,1
24,1,1,1,28.0,0,0,3.597312260588446,2
25,0,3,0,8.0,3,1,3.0944457464900235,2
26,1,3,0,38.0,1,5,3.4777725458882283,2
27,0,3,1,29.69911764705882,0,0,2.1071782966514356,0
28,0,1,1,19.0,3,2,5.575949103146316,2
29,1,3,0,29.69911764705882,0,0,2.1837114628556327,1
30,0,3,1,29.69911764705882,0,0,2.1855792552411137,2
31,0,1,1,40.0,0,0,3.357621598945279,0
32,1,1,0,29.69911764705882,1,0,4.993969182787072,0
33,1,3,0,29.69911764705882,0,0,2.169053700369523,1
34,0,2,1,66.0,0,0,2.4423470353692043,2
35,0,1,1,28.0,1,0,4.420896324687287,0
36,0,1,1,42.0,1,0,3.970291913552122,2
37,1,3,1,29.69911764705882,0,0,2.1076888046179385,0
38,0,3,1,21.0,0,0,2.2027647577118348,2
39,0,3,0,18.0,2,0,2.9444389791664403,2
40,1,3,0,14.0,1,0,2.5048481563289,0
41,0,3,0,40.0,1,0,2.348991465808201,2
42,0,2,0,27.0,1,0,3.091042453358316,2
43,0,3,1,29.69911764705882,0,0,2.1855792552411137,0
44,1,2,0,3.0,1,2,3.7513658711253766,0
45,1,3,0,19.0,0,0,2.1837114628556327,1
46,0,3,1,29.69911764705882,0,0,2.2027647577118348,2
47,0,3,1,29.69911764705882,1,0,2.803360380906535,1
48,1,3,0,29.69911764705882,0,0,2.169053700369523,1
49,0,3,1,29.69911764705882,2,0,3.1214482048688246,0
50,0,3,0,18.0,1,0,2.9338568698359038,2
51,0,3,1,7.0,4,1,3.705920919968788,2
52,0,3,1,21.0,0,0,2.174751721484161,2
53,1,1,0,49.0,1,0,4.353230991152628,0
54,1,2,0,29.0,1,0,3.295836866004329,2
55,0,1,1,65.0,0,1,4.142804513146981,0
56,1,1,1,29.69911764705882,0,0,3.597312260588446,2
57,1,2,0,21.0,0,0,2.4423470353692043,2
58,0,3,1,28.5,0,0,2.1076888046179385,0
59,1,2,0,5.0,1,2,3.3586377672433594,2
60,0,3,1,11.0,5,2,3.8691155044168695,2
61,0,3,1,22.0,0,0,2.1076888046179385,0
62,1,1,0,38.0,0,0,4.394449154672439,2
63,0,1,1,45.0,1,0,4.436455632600354,2
64,0,3,1,4.0,3,2,3.3638415951183864,2
65,0,1,1,29.69911764705882,0,0,3.357621598945279,0
66,1,3,1,29.69911764705882,1,1,2.7878344138303452,0
67,1,2,0,29.0,0,0,2.4423470353692043,2
68,0,3,1,19.0,0,0,2.2146605719425225,2
69,1,3,0,17.0,4,2,2.188856327665703,2
70,0,3,1,26.0,2,0,2.2682524139135403,2
71,0,2,1,32.0,0,0,2.4423470353692043,2
72,0,3,0,16.0,5,2,3.8691155044168695,2
73,0,2,1,21.0,0,0,4.310799125385514,2
74,0,3,1,26.0,1,0,2.737880811060884,0
75,1,3,1,32.0,0,0,4.05171190165724,2
76,0,3,1,25.0,0,0,2.157559320943788,2
77,0,3,1,29.69911764705882,0,0,2.1855792552411137,2
78,0,3,1,29.69911764705882,0,0,2.2027647577118348,2
79,1,2,1,0.83,0,2,3.4011973816621555,2
80,1,3,0,30.0,0,0,2.600836116795061,2
